(Sat) Jun 1	14:00	Le Zoroliasfa111l1	The Train I Never Said	5	1
(Sun) Jun 2	18:00	costco hotdog	:SHAKING_FACE:	5	0
(Sun) Jun 2	13:00	UTC9 Bomb	Luka=mrekk 	5	0
(Sat) Jun 1	20:00	:fairy: :sparkles: 	metalvampir	5	0
(Sat) Jun 1	13:30	Kohai Team Hi	SG 6WC Team B	5	2
(Sun) Jun 2	14:00	Harta Tahta Retot	cat band	5	2
(Sun) Jun 2	12:00	Mystical Northern European Man	assalamualaikum	5	2
(Sun) Jun 2	16:00	HOW MANY PLAYERS???????????	malvon stinky	5	4
(Sun) Jun 2	18:00	wooper	baphomet chest release	5	1
(Sat) Jun 1	18:30	Greece A 2024	4 girls 2 cups	5	3
(Sat) Jun 1	14:00	Small Countries Unite 2.5	we_are_the_unitedx_kingdom53	5	1
(Sat) Jun 1	15:00	Salyut Els Épimères	misterkot	5	2
(Sun) Jun 2	15:00	is that a yes o arnao	cold bread	2	5
(Sun) Jun 2	19:00	pero weon	the voices :steamhappy:	5	3
(Sun) Jun 2	03:00	Fuwari	guy that thinks he's in an edit	3	5
(Sun) Jun 2	13:00	Hetzer Club	FADED	4	5